source,target,time,type
23112,88059,1242,r
5202,75181,1242,r
70944,44798,1244,m
73469,82579,1244,m
70944,32618,1244,m
70944,10922,1244,m
70944,85103,1244,m
70944,42503,1244,m
54202,87844,1246,m
37905,79080,1246,r
82669,87844,1246,m
78326,75306,1247,r
55268,77474,1247,m
99781,79537,1248,m
40233,76446,1249,m
109336,82573,1250,r
41075,75451,1252,r
17533,30620,1257,r
108003,82573,1258,r
17425,75451,1262,r
16190,88015,1263,r
54920,84417,1264,m
21440,78834,1268,m
21440,106211,1268,m
21440,112470,1268,m
9121,75153,1269,m
9121,99916,1269,m
19760,78090,1270,r
67338,82573,1272,r
110991,75181,1275,r
16673,79850,1275,m
46557,76446,1275,m
110991,75181,1279,r
94613,87165,1280,r
56568,78379,1282,r
90255,74793,1282,r
42887,84336,1282,r
90255,74793,1283,r
113732,53108,1283,m
113732,77502,1283,m
113732,37463,1283,m
113737,18062,1285,m
113737,74942,1285,m
113737,31537,1285,m
57739,82573,1285,r
6410,87165,1286,r
103670,75306,1286,r
1512,82573,1288,r
4020,82743,1288,r
17533,18842,1288,r
69687,82053,1288,m
33242,88693,1289,r
84730,88430,1289,m
48862,79878,1290,m
85556,53091,1290,m
85556,83233,1290,m
85556,9836,1290,m
85556,108871,1290,m
78147,32299,1293,m
53474,76816,1294,r
7318,84336,1295,r
48979,82573,1295,r
2095,75181,1297,r
80329,86881,1301,r
69890,75860,1301,m
773,82573,1301,r
55421,87504,1304,r
10960,86363,1305,r
86116,27560,1306,m
31537,84841,1308,r
55061,81733,1311,r
23956,87504,1311,r
116333,98674,1319,m
116333,38682,1319,m
116333,84417,1319,m
116333,115053,1319,m
23322,80150,1324,m
37162,77160,1324,r
41769,81733,1325,r
24817,80988,1326,r
80329,86881,1327,r
80871,86116,1328,r
17533,15309,1331,r
86301,85732,1333,m
76361,75181,1333,r
1752,87504,1334,r
114567,81733,1339,r
29187,84336,1339,r
69951,78381,1340,r
38633,74779,1340,r
28519,86363,1341,r
74803,86881,1342,r
84141,74250,1346,m
14800,84336,1348,r
77431,23220,1350,m
77431,79519,1350,m
77431,55759,1350,m
39547,81510,1351,r
52411,82573,1352,r
46293,87165,1352,r
4817,74873,1353,r
84509,59328,1356,m
78147,16686,1359,m
42903,86212,1361,m
105606,81733,1364,r
21908,75306,1366,r
16686,78147,1368,m
1840,82573,1368,r
39897,82579,1368,m
4814,74873,1369,r
66037,81510,1369,r
17533,17842,1371,r
86358,86245,1374,r
15410,82573,1378,r
49997,81733,1378,r
74250,84141,1379,m
32299,78147,1380,m
70946,75860,1382,m
70946,90092,1382,m
96668,88489,1382,r
16255,74873,1384,r
56845,86363,1385,r
64834,88405,1386,r
63820,75451,1386,r
83196,82573,1386,r
90772,81281,1386,r
90772,81281,1387,r
90772,80039,1387,r
86337,77946,1387,r
68890,87475,1387,r
90772,82687,1387,r
86337,77993,1387,r
107909,75890,1388,r
77589,87475,1388,r
90772,80039,1388,r
90772,0,1388,r
86337,77946,1388,r
90772,80641,1388,r
111372,81510,1388,r
90772,87279,1388,r
64834,88405,1388,r
68890,75120,1388,r
86337,77993,1389,r
94054,88250,1389,r
107909,75890,1389,r
90772,75633,1390,r
90772,74793,1390,r
90772,87279,1390,r
90772,82687,1390,r
90772,87475,1390,r
90772,80679,1390,r
90772,0,1390,r
90772,74793,1391,r
63398,74873,1391,r
90772,74614,1391,r
90772,80641,1391,r
68890,75120,1391,r
90772,84326,1391,r
90772,80679,1392,r
90772,75120,1392,r
90772,87475,1392,r
94054,88250,1393,r
90772,75120,1393,r
90772,75633,1393,r
90772,88067,1393,r
90772,84326,1393,r
90772,74614,1393,r
14463,3774,1394,m
14463,77561,1394,m
90772,88067,1394,r
94054,84825,1395,r
94054,84825,1396,r
18075,84841,1397,r
90772,75629,1399,r
97384,81733,1399,r
60556,75829,1399,r
90772,75629,1399,r
36425,81510,1405,r
47142,76816,1405,r
45434,81057,1406,r
67374,75306,1407,r
53474,75181,1408,r
79537,99781,1410,m
16788,77474,1411,m
106173,78381,1412,r
53474,74873,1412,r
88015,106348,1413,m
78147,32299,1414,m
40850,23220,1415,m
40850,79519,1415,m
